utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file
 here's that yellow thing, and these things,0.0,MOT,CHI,2.961,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and these things, yeah,0.0,CHI,MOT,3.39,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, and that,0.0,MOT,CHI,2.6580000000000004,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and that, what's that,0.0,CHI,JES,0.8710000000000004,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, you open it,0.0,JES,CHI,2.8099999999999987,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you open it, should I open it,0.0,CHI,MOT,3.053000000000001,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 should I open it, then close it,0.0,MOT,CHI,2.0200000000000014,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 then close it, what do you do with that,0.0,CHI,JES,4.446999999999999,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what do you do with that, what's that thing,0.0,JES,CHI,2.9369999999999976,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that thing, what's that,0.0,CHI,MOT,6.943000000000005,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, I bet you know what that is,0.0,MOT,MOT,2.3219999999999956,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I bet you know what that is, you tell,0.0,MOT,CHI,2.206000000000003,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you tell, it's ketchup,0.0,CHI,MOT,0.8939999999999984,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 it's ketchup, close it up,0.0,MOT,CHI,2.6000000000000014,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 close it up, close it up,0.0,CHI,CHI,3.2280000000000015,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 close it up, close this up,0.0,CHI,CHI,3.1229999999999976,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 close this up, want me to close it,0.0,CHI,JES,2.5420000000000016,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 want me to close it, what's this,0.0,JES,CHI,1.323999999999998,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's this, what's this,0.0,CHI,CHI,4.237000000000002,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's this, what's going on here,0.0,CHI,JES,3.1469999999999985,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's going on here, huh,0.0,JES,JES,3.5180000000000007,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 huh, and they slide down,0.0,JES,CHI,2.0659999999999954,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and they slide down, this,0.0,CHI,CHI,2.4270000000000067,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, what's that,0.0,CHI,JES,4.3999999999999915,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, what is that,0.0,JES,JES,1.277000000000001,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what is that, this,0.0,JES,CHI,2.984000000000009,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, look,0.0,CHI,CHI,6.361999999999995,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look, look Mommy,0.0,CHI,CHI,2.659000000000006,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look Mommy, I see,0.0,CHI,MOT,1.4279999999999973,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I see, what is this,0.0,MOT,MOT,1.5090000000000003,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what is this, are you tryin to pull her head off,0.0,MOT,MOT,1.6949999999999932,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 are you tryin to pull her head off, the other mommy,0.0,MOT,CHI,7.036000000000001,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the other mommy, you want this mommy too,0.0,CHI,JES,4.5859999999999985,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you want this mommy too, yes,0.0,JES,CHI,2.3100000000000023,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yes, look the door opens,0.0,CHI,CHI,0.9060000000000059,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look the door opens, the door opens,0.0,CHI,CHI,11.713999999999999,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the door opens, yeah just like the big one we hav or the big one we use at home,0.0,CHI,MOT,4.551000000000002,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah just like the big one we hav or the big one we use at home, the car has,0.0,MOT,CHI,3.134999999999991,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the car has, this car has this,0.0,CHI,CHI,4.667000000000002,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this car has this, and what's that,0.0,CHI,MOT,4.4469999999999885,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and what's that, baby,0.0,MOT,CHI,1.8689999999999998,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 baby, look at this baby,0.0,CHI,CHI,1.1500000000000057,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look at this baby, look at the baby,0.0,CHI,MOT,8.242999999999995,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look at the baby, and this baby rides goes goes in there,0.0,MOT,CHI,2.670000000000016,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and this baby rides goes goes in there, are they gonna go for a trip,0.0,CHI,JES,5.631,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 are they gonna go for a trip, in the car,0.0,JES,JES,6.977000000000004,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the car, this,0.0,JES,CHI,1.1500000000000057,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, in the baby stroller,0.0,CHI,MOT,2.0079999999999814,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the baby stroller, not the baby stroller,0.0,MOT,CHI,2.414999999999992,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 not the baby stroller, oh okay,0.0,CHI,MOT,5.248000000000019,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh okay, and this baby goes up here,0.0,MOT,CHI,1.1030000000000086,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and this baby goes up here, okay,0.0,CHI,MOT,4.097999999999985,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 okay, there's the mommy,0.0,MOT,CHI,11.436000000000007,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 there's the mommy, gonna drive,0.0,CHI,CHI,14.686999999999983,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 gonna drive, she gonna drive,0.0,CHI,MOT,1.6370000000000005,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 she gonna drive, and this daddy,0.0,MOT,CHI,1.2650000000000148,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and this daddy, that's daddy,0.0,CHI,JES,5.293999999999983,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 that's daddy, where are they gonna go,0.0,JES,JES,0.825000000000017,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where are they gonna go, this daddy put the xxx,0.0,JES,CHI,1.6829999999999927,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this daddy put the xxx, yeah where are they gonna go,0.0,CHI,MOT,12.259999999999991,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah where are they gonna go, what are they gonna do,0.0,MOT,MOT,15.198000000000008,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what are they gonna do, Mommy gonna,0.0,MOT,CHI,5.8629999999999995,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 Mommy gonna, I miss mommy,0.0,CHI,CHI,3.0999999999999943,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I miss mommy, I see,0.0,CHI,MOT,11.086000000000013,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I see, daddy fell down,0.0,MOT,JES,9.276999999999987,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 daddy fell down, in the slide down,0.0,JES,CHI,3.8079999999999927,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the slide down, and what happens the slide down,0.0,CHI,MOT,5.840000000000032,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and what happens the slide down, somebody get in get in here,0.0,MOT,CHI,3.0190000000000055,False,[None],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
