utterance,response,response_time,speaker,responder,utterance_time,start_time,error,age,past_tense,plural,overlap,source_file
 do you like it, uh I can open it,0.0,JEN,CHI,1.4329999999999998,2.0,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh I can open it, I don't I don't know if it's,0.0,CHI,JEN,2.0630000000000006,3.433,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I don't I don't know if it's, ooh you're like a grownup,0.0,JEN,JEN,2.0459999999999994,5.496,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ooh you're like a grownup, see I have one too we're special,0.0,JEN,JEN,1.777000000000001,7.542,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 see I have one too we're special, yes you guys are very special,0.0,JEN,MOT,3.9079999999999995,9.319,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes you guys are very special, we play with toys,0.0,MOT,CHI,3.7409999999999997,13.227,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 we play with toys, we play with toys very good,0.0,CHI,JEN,1.8790000000000013,16.968,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 we play with toys very good, very good,0.0,JEN,CHI,2.043999999999997,18.847,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 very good, xxx,0.0,CHI,MOT,3.8080000000000034,20.891,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, do you wanna go sit in that one or do you want me to move this chair,0.0,MOT,JEN,2.9259999999999984,24.699,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you wanna go sit in that one or do you want me to move this chair, do you like this chair better or that one,0.0,JEN,JEN,2.7600000000000016,27.625,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you like this chair better or that one, um no,0.0,JEN,CHI,1.3780000000000001,30.385,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 um no, okay you like the one you're on,0.0,CHI,JEN,1.2970000000000006,31.763,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay you like the one you're on, yes,0.0,JEN,CHI,1.463000000000001,33.06,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, okay if I sit here,0.0,CHI,JEN,1.4629999999999939,34.523,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay if I sit here, what's this little boy doin,5.0,JEN,JEN,1.1650000000000063,35.986,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's this little boy doin, goin sit,0.0,JEN,CHI,1.9789999999999992,42.151,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 goin sit, yeah,0.0,CHI,JEN,2.0109999999999957,44.13,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, and he go po,0.0,JEN,CHI,0.7319999999999993,46.141,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and he go po, an take a bath,0.0,CHI,CHI,2.676000000000002,46.873,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 an take a bath, take a bath,0.0,CHI,MOT,2.926000000000002,49.549,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 take a bath, oh who's he takin a bath with,8.0,MOT,MOT,1.1469999999999985,52.475,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 oh who's he takin a bath with, daddy,0.0,MOT,CHI,2.0459999999999994,61.622,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 daddy, what did daddy do today,0.0,CHI,MOT,2.675999999999995,63.668,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what did daddy do today, do you know what daddy did today,0.0,MOT,MOT,1.1300000000000097,66.344,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you know what daddy did today, daddy's takin a bath,0.0,MOT,JEN,5.11999999999999,67.474,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 daddy's takin a bath, ooh,0.0,JEN,MOT,1.3320000000000078,72.594,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ooh, who's that,6.0,MOT,MOT,0.8629999999999995,73.926,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's that, a baby,0.0,MOT,CHI,1.3970000000000056,80.789,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 a baby, where does the baby go,0.0,CHI,MOT,1.7959999999999923,82.186,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 where does the baby go, to slee,0.0,MOT,CHI,3.6740000000000066,83.982,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 to slee, to sleep,0.0,CHI,MOT,2.9919999999999902,87.656,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 to sleep, in the it's a bed,0.0,MOT,MOT,0.9159999999999968,90.648,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 in the it's a bed, should the baby go to sleep in the bed,0.0,MOT,MOT,4.257000000000005,91.564,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 should the baby go to sleep in the bed, yes,0.0,MOT,CHI,1.2789999999999964,95.821,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, and what about the mommy here,0.0,CHI,MOT,0.5650000000000119,97.1,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
