source_file,age,utterance,responder,response,overreg_past,overreg_plural,start_time_minutes,elan_coded
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml,762,he falled,JEN,he falled,TRUE,FALSE,14.48725,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml,762,he falled,MOT,so mommy can't xxx the couch,TRUE,FALSE,16.3885,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020108.xml,769,I taked a shower,MOT,in the do you remember in the what in the sprinkler,TRUE,FALSE,13.21043333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020108.xml,769,they're takin bathses,MOT,oh in in little buckets huh,FALSE,FALSE,22.72566667,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020117.xml,778,I swimmed in the bathtub,MOT,and who who do you pretend to be when you're in the bathtub,TRUE,FALSE,14.37141667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020117.xml,778,I sayed nothin,JEN,you said nothing,TRUE,FALSE,27.2636,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020129.xml,790,they sayed hi,JEN,they said hi,TRUE,FALSE,16.90391667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020129.xml,790,I maked a a coat,MOT,it's cold,TRUE,FALSE,25.4876,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020206.xml,797.5,he taked his beard off,MOT,he did,TRUE,FALSE,16.791,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020206.xml,797.5,I drawed xxx beach,MOT,you drawed the beach,TRUE,FALSE,25.54018333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I fli in in the in Portugal,MOT,to Portugal but what were we in,FALSE,FALSE,2.49415,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,he drinked milk,JEN,oh he drinked milk,TRUE,FALSE,7.54155,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,his mommy his mommy goed to work,JEN,yeah,TRUE,FALSE,7.60635,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I drawed the sun,JEN,you did,TRUE,FALSE,14.23348333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I drawed the sun,JEN,very good,TRUE,FALSE,14.30026667,TRUE
