source_file,age,utterance,responder,response,overreg_past,overreg_plural,response_time
/content/drive/My Drive/childes/Eng-NA/Braunwald/010720.xml,598.75,the xxx doggy gone do byebye,SIS,you think that er Swww is a is,FALSE,FALSE,34
/content/drive/My Drive/childes/Eng-NA/Braunwald/010725.xml,603.75,I et,MOT,oh,FALSE,FALSE,569
/content/drive/My Drive/childes/Eng-NA/Braunwald/011008.xml,678.25,what you do,FAT,she loves xxx,FALSE,FALSE,534
/content/drive/My Drive/childes/Eng-NA/Braunwald/011019.xml,689.25,felled,MOT,you like to go to the beach,TRUE,FALSE,488
/content/drive/My Drive/childes/Eng-NA/Braunwald/011020.xml,690.25,go my hurt eye,FAT,did it hurt your eyes,FALSE,FALSE,0
/content/drive/My Drive/childes/Eng-NA/Braunwald/011027.xml,697.25,there my shoes,MOT,they're yours also,FALSE,FALSE,-35
/content/drive/My Drive/childes/Eng-NA/Braunwald/011103.xml,703.75,tiny when my baby come here,SIS,yes,FALSE,FALSE,-22
/content/drive/My Drive/childes/Eng-NA/Braunwald/011109.xml,709.75,on a Glock stairs,MOT,on Glock's stairs,FALSE,FALSE,-35
/content/drive/My Drive/childes/Eng-NA/Braunwald/011126.xml,726.75,that broken,MOT,mhm hm,FALSE,FALSE,-349
/content/drive/My Drive/childes/Eng-NA/Braunwald/020023.xml,753.5,he Mummy Mummy,MOT,that's right,FALSE,FALSE,221
/content/drive/My Drive/childes/Eng-NA/Braunwald/020121.xml,782,I got I got milk in my eye,SIS,what's educated mean,FALSE,FALSE,-2787
/content/drive/My Drive/childes/Eng-NA/Braunwald/020128.xml,789,I had cold,MOT,do you,FALSE,FALSE,-12
/content/drive/My Drive/childes/Eng-NA/Braunwald/020200.xml,791.5,I've ate my dinner,FAT,good,FALSE,FALSE,502
/content/drive/My Drive/childes/Eng-NA/Braunwald/020212a.xml,803.5,that mean when Dee Jack went on trip on xxx on fire,MOT,when Deebee and Jack went on their trip to New_York,FALSE,FALSE,849
/content/drive/My Drive/childes/Eng-NA/Braunwald/020215.xml,806.5,I got choose Mickey_Mouse,MOT,mhm,FALSE,FALSE,-47
/content/drive/My Drive/childes/Eng-NA/Braunwald/020224.xml,815.5,I got fork,SIS,Laura's,FALSE,FALSE,-23
/content/drive/My Drive/childes/Eng-NA/Braunwald/020226.xml,817.5,I had no more pepper,MOT,okay,FALSE,FALSE,-116
/content/drive/My Drive/childes/Eng-NA/Braunwald/020227.xml,818.5,why you left,MOT,what sweetie,FALSE,FALSE,24
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I had enough,MOT,it was a nice xxx breakfast,FALSE,FALSE,-487
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I had nough,MOT,you had enough too,FALSE,FALSE,1263
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I had,FAT,oh,FALSE,FALSE,-940
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,white cat was hurt Pwww,MOT,a white cat was hurting Pwww,FALSE,FALSE,406
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,Dwww said I Daniel,MOT,oh Dwww said you were Daniel,FALSE,FALSE,-35
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,here my new sandals,MOT,that's your new sandal,FALSE,FALSE,-429
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,a pears,MOT,xxx,FALSE,FALSE,35
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,I heared it,MOT,you didn't,TRUE,FALSE,-82
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where where my squirrel go,MOT,I don't know,FALSE,FALSE,0
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where my mouse go,MOT,I don't know,FALSE,FALSE,1034
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,when I have chicken,MOT,when did you have chicken,FALSE,FALSE,58
/content/drive/My Drive/childes/Eng-NA/Braunwald/020313.xml,835,Swww did byebye,FAT,Swww went byebye with Dwww,FALSE,FALSE,-46
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,bird flewed at me,MOT,yes,TRUE,FALSE,-12
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I got a Mickey_Mouse,FAT,xxx,FALSE,FALSE,-1469
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I not cry,SIS,now Mummy I just ate half a muffin,FALSE,FALSE,3498
