source_file,age,utterance,responder,response,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020521.xml,904,I gotta poo I gots,JEN,and what do airplanes do,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020604.xml,917.5,I broked it,JEN,you broked it that's right,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020611.xml,924.5,it's xxx it gots an ow a boo_boo,JEN,and does that look like a bathtub to you,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020701.xml,945,tmores,FAT,yes,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/021001.xml,1036.5,sleept,JEN,you sleept,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030904.xml,1374.25,skakies and worms,FAT,and worms,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030904.xml,1374.25,uh tiny teef,KAR,what does the shark eat with his teeth,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030925.xml,1395.25,see de little dings right dere you hammer dem down,KAR,oh cool,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030925.xml,1395.25,and after dat he goed dose some caves and de Aladar and de jungle and den they climbed in dere and after dat after dat it closed,FAT,all the rocks came down,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031009.xml,1409.75,I felled on a carpet,KAR,on the carpet,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031023.xml,1423.75,it has teef,KAR,oh wow,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031023.xml,1423.75,it has really big teef,FAT,here's the trunk,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031128.xml,1459.25,I gots one two three four,FAT,hey Roman,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/040611.xml,1655,and and it stunged me right here,FAT,xxx it stunged you right here right above the eye,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/040611.xml,1655,uma there was someone who also gots bit by a spider then they both turned into something um who um who shoots out something,CAR,yeah,0,NA,,
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/040720.xml,1694.5,um number two um um he bendeded a camp,CAR,um hm,0,NA,,
